objectname,rating,numplays,objectid,itemtype,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
4 First Games,5,19,2094,standalone,0,0,0,0,0,0,1,0,0,3,,"Wow, I grew up with this game in the early 80's. I haven't thought about it in years. Those crazy dogs and their sausage-stealing antics! This was my introduction to board games!",,,,18569655,5.45599,4.85536,1,22183,245,thing,4 First Games,2,6,15,15,10,0,"2,3,4,5,6","2,3,4",3–4,No necessary in-game text,,,,,,,,,,,,,,,,,Ravensburger,English,0,English-only edition
5-Minute Dungeon,7,36,207830,standalone,0,1,0,0,0,0,0,0,0,3,,Got the kickstarter edition,,,,41552148,6.63523,6.97481,1.1154,881,15536,thing,5-Minute Dungeon,2,5,30,30,5,2017,"2,3,4,5","4,5",6+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
5-Minute Marvel,8,34,253618,standalone,0,1,0,0,0,0,0,0,0,3,,Got this for Father's Day 2019,,,,61478182,6.24002,6.8366,1.1273,1721,5832,thing,5-Minute Marvel,2,5,5,5,5,2018,"2,3,4,5",3,6+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
5-Minute Mystery,7,12,294514,standalone,0,1,0,0,0,0,0,1,0,1,,Kickstarted it. We've had a lot of fun playing this with the kids because there's plenty to do. We've ever gone past the green scenarios though!,,,,73118647,6.18573,7.19657,1.1667,1886,3455,thing,5-Minute Mystery,1,6,30,30,5,2020,"1,2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
7 Wonders,9.25,87,68448,standalone,0,1,0,0,0,0,0,0,0,3,,"Such a great game, with several qualities that make it a top choice to come off the shelf. It supports up to seven players - frequently a necessity. Everyone plays simultaneously - awesome, we don't have to wait a half hour for each turn. And it's just cards, so we don't have to spend a half hour setting up a board and lots of tokens and whatnot. It's ease of setup, speed of play, and support of many people make it the best choice a lot of the time.",,,,14672519,7.61385,7.71746,2.3231,80,126596,thing,7 Wonders,2,7,30,30,30,2010,"3,4,5,6,7","4,5",10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
7 Wonders Duel,6,17,173346,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,33750330,7.97946,8.1028,2.2211,19,123536,thing,7 Wonders Duel,2,2,30,30,30,2015,2,2,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
7 Wonders: Wonder Pack,7,,133993,expansion,0,1,0,0,0,0,0,0,0,1,,"Adds some good variety to the basic game. Manekin Pis is cool, as is Stonehenge. They are fun challenges. The Great Wall always gets thrust upon someone who wins big in the previous round. It almost always knocks them down a peg.",,,,21702042,7.04295,7.59427,2.2789,0,17564,thing,7 Wonders: Wonder Pack,2,7,30,30,30,2013,"3,4,5,6,7",4,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
The 7th Citadel,0,,286063,standalone,0,0,0,0,0,1,0,0,0,2,,,,,,95482852,5.55718,7.78348,2,10097,640,thing,The 7th Citadel,1,4,1000,1000,5,2023,"1,2,3",2,14+,,,,,,,,,,,,,,,,,,,,,
The 7th Continent,6,7,180263,standalone,0,1,0,0,0,0,0,0,0,3,,"Was really intrigued by the concept, but it's more finicky than I had imagined. I'm not actually all that interested in the survival challenge of the game, more in the exploration. I think I will keep coming back to it and exploring more parts of the island but I am not in love with the experience. I'm definitely interested in some variants that make it lighter and easier to just explore the story.",,,,91246338,7.66066,7.97154,2.8995,68,34981,thing,The 7th Continent,1,4,1000,1000,5,2017,"1,2,3","1,2",10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Above and Below,7,8,172818,standalone,0,1,0,0,0,0,0,0,0,3,,Bought a used copy off the Geek market. A combines a light-weight worker placement / building / resource collection game (which would not be that interesting on its own) with a charming adventure system that is like a choose-your-own adventure / super-light-weight RPG. I wouldn't call this a game for hard-core gamers since there is a fair amount of luck and randomness but I have really enjoyed it with younger player and people who are more into RPG's.,,,,94753127,7.13467,7.38603,2.5204,303,22681,thing,Above and Below,2,4,90,90,90,2015,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Above and Below: Groves,0,,213992,expansion,0,1,0,0,0,0,0,0,0,3,,"Didn't realize it, but this came with the copy I bought from the Geek Market!",,,,95976115,5.682,7.02971,2.8,0,1638,thing,Above and Below: Groves,2,4,120,120,60,2016,"2,3,4",3,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Acquire,6,1,5,standalone,0,1,0,0,0,0,0,0,0,3,,"My wife grew up with this game so I got the newest reprint. We've played it once. I wasn't all that taken with it, and I haven't felt like putting in the time to get better at it.",,,,16602557,7.13315,7.33667,2.5009,306,24322,thing,Acquire,2,6,90,90,90,2008,"3,4,5,6",4,12+,No necessary in-game text,,,,,,,,,,,,,,,,,Avalon Hill,English,2008,Avalon Hill (Hasbro) edition
Ad Astra,0,,38343,standalone,0,0,0,0,0,0,0,0,0,4,,,,,,91073416,6.33265,6.86517,2.6784,1464,2955,thing,Ad Astra,3,5,60,60,60,2009,"3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
The Adventurers: The Pyramid of Horus,6.9,7,98315,standalone,0,1,0,0,0,0,0,0,0,3,,"I really like this game. I like the different options that are all open to you, and the wounds mechanic is a huge improvement on the first game. This game is ALWAYS tense at the end, which I like. Some have ended in mass destruction, sometimes we are all cowards and run out quickly, and every once in a while someone manages to dance around the stones and escape with a massive load of treasure. ",,,,19670322,6.16753,6.80182,1.7456,1961,3115,thing,The Adventurers: The Pyramid of Horus,2,6,45,45,45,2011,"2,3,4,5,6","4,5",8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
The Adventurers: The Temple of Chac,7.5,6,43868,standalone,0,1,0,0,0,0,0,0,0,3,,"I like this game conceptually more than I like actually playing it. I appreciate that it was the first Adventurers game but I like the second one better. This one feels mostly the same whenever I play it, and it feels like there are fewer tense decisions. You are either grabbing tons of treasure or dying a grisly and sudden death.",,,,19708590,6.28127,6.6052,1.6558,1594,5610,thing,The Adventurers: The Temple of Chac,2,6,45,45,45,2009,"2,3,4,5,6","4,5",8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Age of Civilization,5.8,2,264647,standalone,0,1,0,0,0,0,0,0,0,3,,"Got it on clearance sale from Amazon. Looks really neat, I love the art on the wonder cards. The small package and components are really nice. The actual game has some good ideas but overall it has _too many_ ideas and is more fiddly and less intuitive than it should be. It's pretty close - I could see a streamlined revision being quite fun.",,,,92936983,6.24223,7.10062,2.2787,1711,4045,thing,Age of Civilization,1,4,60,60,30,2019,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Agricola,9,20,31260,standalone,0,1,0,0,0,0,0,0,0,3,,"I really appreciate the depth of the design of this game, and the extent to which reality is modeled. It still takes a long time to set up and play, but I always enjoy it.",,,,14780093,7.79002,7.90983,3.6384,42,80638,thing,Agricola,1,5,150,150,30,2007,"1,2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
ALIEN: Fate of the Nostromo,0,,332321,standalone,0,1,0,0,0,1,0,0,0,4,,,,,,92455171,6.04983,7.13894,2.0256,2411,3027,thing,ALIEN: Fate of the Nostromo,1,5,60,60,45,2021,"1,2,3,4,5",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Aliens: Another Glorious Day in the Corps,0,,256852,standalone,0,0,0,0,0,1,0,0,1,4,,,,,,89948186,6.07305,7.45518,2.814,2316,2970,thing,Aliens: Another Glorious Day in the Corps,1,6,120,120,60,2020,"1,2,3,4,5,6",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
The aMAZEing Labyrinth,8.5,13,1219,standalone,0,1,0,0,0,0,1,0,0,3,,"Such a good game! Simple rules are easy to learn, but each turn requires some actual thought, especially when the maze is complicated. Like Carcasonne light, but lighting quick to set up and play. My favorite end-of-the-night / had-a-few-drinks game!",,,,9862657,6.2345,6.40335,1.3631,1733,23426,thing,Labyrinth,2,4,20,20,20,1988,"2,3,4",4,6+,No necessary in-game text,,,,,,,,,,,,,,,,,Discovery Toys; Otto Maier Verlag,English,1988,Discovery Toys/Ravensburger edition 1988
